category_name,data_type_name,description
Location,Approximate location,"User or device physical location to an area greater than or equal to 3 square kilometers, such as the city a user is in, or location provided by Android¡¯s ACCESS_COARSE_LOCATION permission."
Location,Precise location,"User or device physical location within an area less than 3 square kilometers,such as location provided by Android¡¯s ACCESS_FINE_LOCATION permission."
Personal info,Name,"How a user refers to themselves, such as their first or last name, or nickname."
Personal info,Email address,A user¡¯s email address.
Personal info,User IDs,"Identifiers that relate to an identifiable person. For example, an account ID, account number, or account name."
Personal info,Address,"A user¡¯s address, such as a mailing or home address."
Personal info,Phone number,A user¡¯s phone number.
Personal info,Race and ethnicity,Information about a user¡¯s race or ethnicity.
Personal info,Political or religious beliefs,Information about a user¡¯s political or religious beliefs.
Personal info,Sexual orientation,Information about a user¡¯s sexual orientation.
Financial info,User payment info,Information about a user¡¯s financial accounts such as credit card number.
Financial info,Purchase history,Information about purchases or transactions a user has made.
Financial info,Credit score,Information about a user¡¯s credit score.
Health and fitness,Health info,"Information about a user's health, such as medical records or symptoms."
Health and fitness,Fitness info,"Information about a user's fitness, such as exercise or other physical activity."
Messages,Emails,"A user¡¯s emails including the email subject line, sender, recipients, and the content of the email."
Messages,SMS or MMS,"A user¡¯s text messages including the sender, recipients, and the content of the message."
Photos and videos,Photos,A user¡¯s photos.
Photos and videos,Videos,A user¡¯s videos.
Audio files,Voice or sound recordings,A user¡¯s voice such as a voicemail or a sound recording.
Audio files,Music files,A user¡¯s music files.
Files and docs,Files and docs,"A user¡¯s files or documents, or information about their files or documents such as file names."
Calendar,Calendar events,"Information from a user¡¯s calendar such as events, event notes, and attendees."
Contacts,Contacts,"Information about the user¡¯s contacts such as contact names, message history, and social graph information like usernames, contact recency, contact frequency, interaction duration and call history."
App activity,App interactions,"Information about how a user interacts with the app. For example, the number of times they visit a page or sections they tap on."
App activity,In-app search history,Information about what a user has searched for in your app.
App activity,Installed apps,Information about the apps installed on a user's device.
Web browsing,Web browsing history,Information about the websites a user has visited.
App info and performance,Crash logs,"Crash log data from your app. For example, the number of times your app has crashed, stack traces, or other information directly related to a crash."
App info and performance,Diagnostics,"Information about the performance of your app. For example battery life, loading time, latency, framerate, or any technical diagnostics."
Device or other IDs,Device or other IDs,"Identifiers that relate to an individual device, browser or app. For example, an IMEI number, MAC address, Widevine Device ID, Firebase installation ID, or advertising identifier."
